,Overall_Rank,State,Total_Score,Education_Score,Health_Score,Safety_Score,Economy_Score,Infra_Pollution_Score,Vote_2020,Legislature,Governor,Control,Revenue1,General_revenue1,Intergovernmental_revenue1,From_Federal_Government,From_State_government1,From_local_governments1,General_revenue_from_own_sources,Taxes,Property,Sales_and_gross_receipts,General_sales,Selective_sales,Motor_fuel,Alcoholic_beverage,Tobacco_products,Public_utilities,Other_selective_sales,Individual_income,Corporate_income,Motor_vehicle_license,Other_taxes,Charges_and_miscellaneous_general_revenue,Intergovernmental_expenditure1,Direct_expenditure,Current_operations,Capital_outlay,Construction,Other_capital_outlay,Assistance_and_subsidies,Interest_on_debt,Insurance_benefits_and_repayments,Exhibit:_Salaries_and_wages,Education_Expenditures,Higher_education,Elementary_&_secondary,Other_education,Libraries,Public_Welfare_Expenditures,Cash_assistance_payments,Vendor_payments,Other_public_welfare,Hospital_Expenditures,Health_Expenditures,Employment_security_administration,Veterans'_services,Highway_Expenditures,Air_transportation_(airports),Parking_facilities,Sea_and_inland_port_facilities,Police_Expenditures,Fire_protection,Corrections_Expenditures,Capital_outlay,Protective_inspection_and_regulation,Natural_Resources_Expenditures,Parks_Rec_Expenditures,Housing_and_community_development,Sewerage,Solid_waste_management,Financial_administration,Judicial_and_legal,General_public_buildings,Other_governmental_administration,Interest_on_general_debt,2020_Tax_Burden,POP_2020
20,11,Massachusetts,61.59,13,2,7,32,41,D,D,R,S,105809443,89608043,22629111,22629111,0,0,66978932,51013885,18524064,9931524,6815727,3115797,707877,88370,523963,0,1795587,17414713,2532411,416113,2195060,15965047,12242,108747310,79510002,9673176,6857971,2815205,1185114,3622613,14756405,24798438,24995264,5139021,18296312,1559931,331650,25682353,565803,23070496,2046054,1649097,2110684,227935,5813,3333344,918415,17547,139925,2432310,1430593,1684520,63196,354222,278530,533242,3178114,1499559,391300,1242523,1142587,1032404,469689,3275284,11.4%,7022220
21,31,Michigan,50.93,26,18,24,35,43,D,R,D,S,113519253,97309034,28453583,28453583,0,0,68855452,42915684,16045055,13626231,9223410,4402821,1199557,181064,826928,82887,2112385,9596218,812842,1366442,1468896,25939768,3195,115912918,87285247,8594480,5585723,3008757,1838963,3179208,15015021,27634584,33657956,12426202,19135237,2096517,495179,19532673,194769,14635686,4702218,6137579,4610704,228481,0,5773940,651945,52739,1491,2922202,1526019,2568182,26013,460296,469839,1027776,1070781,2623027,608853,1154598,1456613,205317,867854,2854229,9.6%,10067664
22,1,Minnesota,73.24,6,1,10,3,2,D,S,D,S,79427041,67148061,15629639,15629639,0,0,51518422,37137398,10135450,11963218,6776747,5186472,879639,100463,616192,162742,3427436,10923158,1604450,873119,1638002,14381024,273,78061897,57714396,8664717,6202922,2461795,1616101,1932119,8134565,20037426,20880593,5403567,14261542,1215484,241913,18025053,740064,14627864,2657125,2231709,1852998,39393,19604,5435770,608484,65801,51807,2414132,587374,1156825,16444,143412,871046,1386453,1108853,1157426,508844,1673254,774511,261137,601860,1807489,12.7%,5707165
23,47,Mississippi,37.42,47,45,30,44,49,R,R,R,R,32982833,29974259,10688245,10688245,0,0,19286013,11738711,3451952,5385185,3808624,1576561,436834,41703,138923,65436,893665,1861263,421425,162947,455939,7547302,0,32580411,25362636,2669444,2100696,568748,464764,560780,3522787,8368666,8714294,3013091,5018603,682600,42957,6537800,54825,6091330,391645,4235689,501283,36450,29193,1754631,96013,2624,62332,788504,317425,538853,5738,108492,321171,302619,323591,305729,221556,535398,312745,103800,279280,528275,9.8%,2956870
24,38,Missouri,45.58,34,32,42,10,46,R,R,R,R,62377717,53713814,15907838,15907838,0,0,37805976,24413173,6854286,9412272,7157564,2254709,708455,41000,108785,356584,1039884,6324142,453286,320069,1049117,13392803,14023,62072636,46941090,5499114,4247540,1251574,784567,1899493,6948371,15612775,16639938,4213571,11372406,1053961,282925,10393639,105270,9692947,595422,4877270,2554628,41129,972,2762203,538899,22756,5220,2116292,1234802,962578,9416,127922,420813,789112,782071,1306195,160982,691612,581027,199971,653540,1745484,9.5%,6154481
25,28,Montana,52.21,23,14,38,37,12,R,R,R,R,12081772,10692232,3881527,3881527,0,0,6810705,4855933,1961442,695912,0,695912,260531,40465,75486,43351,276079,1338737,186297,180548,492996,1954773,0,12097782,9087719,1359735,1136606,223129,108443,216718,1325166,3015927,3230250,968051,2137398,124801,37387,2463659,0,2248241,215418,154358,421025,44077,2334,1043115,78480,6756,1581,374155,144804,275262,8135,42928,338284,110561,88966,153304,98584,261172,205686,66290,214895,204442,10.8%,1086193
26,12,Nebraska,59.68,20,21,20,4,8,R,S,R,R,27115791,20951385,5101057,5101057,0,0,15850328,11086500,4094847,3319688,2593882,725806,397341,32590,55394,133631,106850,2445647,391164,198117,637036,4763827,54212,25142251,18905152,3868690,2697548,1171142,264767,551009,1552633,7258420,7696790,2542207,4851647,302936,74114,2932499,34040,2053360,845099,812186,332557,43221,4883,1978307,99718,14626,0,584356,266536,597392,30485,82118,323448,311881,277502,374334,137203,288101,203029,62433,230682,366439,11.7%,1961455
27,44,Nevada,40.07,41,33,40,50,19,D,D,D,D,34046601,26728640,6270612,6270612,0,0,20458028,14948887,3589826,9370788,6297365,3073423,625489,43410,179895,335013,1889616,0,0,194161,1794112,5509141,3324,33356572,21639923,5142895,4631381,511514,670965,1186134,4716654,7785117,7827495,1899546,5183430,744519,120959,4746725,42381,3929659,774685,1167453,507571,61950,24433,2354243,485920,11631,0,1470322,633300,857270,32634,234318,359975,1713250,324970,497112,36894,346566,564544,160557,319648,994079,10.2%,3114071
28,9,New Hampshire,63.2,18,9,2,8,38,D,R,R,R,15192971,13409399,3823890,3823890,0,0,9585510,7070074,4525577,979930,0,979930,170001,13176,209201,45980,541572,122631,780672,85310,575954,2515435,0,14181375,11419390,905601,681724,223877,275402,438633,1142350,3969326,4356223,887275,3174967,293981,56880,2584723,55299,1844868,684557,67498,156476,56847,1515,801157,46479,15103,0,492445,254995,221643,3562,70732,52141,109394,243102,244515,151835,609035,175528,65614,263865,427874,9.4%,1377848
29,15,New Jersey,57.63,7,26,3,19,50,D,D,D,D,119261406,109430383,20025574,20025574,0,0,89404809,70318773,31839321,16413408,11068018,5345390,487883,151751,583839,960737,3161181,15412766,3565191,628977,2459110,19086036,15600,117253785,86324568,7470744,6208591,1262153,2216683,3511272,17730517,35861826,39212390,7088867,29030943,3092580,312515,19754897,554001,17117570,2083326,2856279,2360319,193840,13297,4382442,37807,57820,80105,3987323,939760,2148946,29869,466313,567290,658058,1334371,1631326,1034131,1428050,1578891,481916,621402,3468327,12.8%,9279743
